t,stamp,phone_elena,keys_elena,wallet_elena,backpack_elena,jacket_elena,water_bottle_elena,lunchbox_elena,laptop_elena,charger_elena,notebook_elena,pen_elena,glasses_elena,headphones_elena,mug_elena,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,book_elena,blanket_elena,remote_1,watering_can_elena,umbrella_elena,laundry_basket_elena,towel_1,hairbrush_elena,medication_bottle_elena,suitcase_elena
11760,d08 Tue 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11820,d08 Tue 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11880,d08 Tue 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
11940,d08 Tue 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12000,d08 Tue 08:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12060,d08 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12420,d08 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12480,d08 Tue 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12540,d08 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12600,d08 Tue 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12660,d08 Tue 19:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
12720,d08 Tue 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12780,d08 Tue 21:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12840,d08 Tue 22:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12900,d08 Tue 23:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
12960,d09 Wed 00:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13020,d09 Wed 01:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13080,d09 Wed 02:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13140,d09 Wed 03:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13200,d09 Wed 04:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13260,d09 Wed 05:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13320,d09 Wed 06:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13380,d09 Wed 07:00,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
13440,d09 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13620,d09 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13680,d09 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13740,d09 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13800,d09 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13860,d09 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13920,d09 Wed 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
13980,d09 Wed 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
14040,d09 Wed 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
14100,d09 Wed 19:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
14160,d09 Wed 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14220,d09 Wed 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14280,d09 Wed 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14340,d09 Wed 23:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14400,d10 Thu 00:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14460,d10 Thu 01:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14520,d10 Thu 02:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14580,d10 Thu 03:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14640,d10 Thu 04:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14700,d10 Thu 05:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14760,d10 Thu 06:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14820,d10 Thu 07:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14880,d10 Thu 08:00,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
14940,d10 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15000,d10 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15060,d10 Thu 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15120,d10 Thu 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15180,d10 Thu 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15240,d10 Thu 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15300,d10 Thu 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15360,d10 Thu 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15420,d10 Thu 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15480,d10 Thu 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
15540,d10 Thu 19:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15600,d10 Thu 20:00,entry,entry,living,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15660,d10 Thu 21:00,entry,entry,living,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15720,d10 Thu 22:00,entry,entry,bathroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15780,d10 Thu 23:00,entry,entry,bathroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15840,d11 Fri 00:00,entry,entry,bathroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
15900,d11 Fri 01:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
15960,d11 Fri 02:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16020,d11 Fri 03:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16080,d11 Fri 04:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16140,d11 Fri 05:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16200,d11 Fri 06:00,entry,entry,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16260,d11 Fri 07:00,entry,entry,bathroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,kitchen,bathroom,bedroom
16320,d11 Fri 08:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
16380,d11 Fri 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16440,d11 Fri 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16500,d11 Fri 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16560,d11 Fri 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16620,d11 Fri 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16680,d11 Fri 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16740,d11 Fri 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16800,d11 Fri 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16860,d11 Fri 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,outside,bedroom,bathroom,bedroom,kitchen,outside
16920,d11 Fri 18:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
16980,d11 Fri 19:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17040,d11 Fri 20:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17100,d11 Fri 21:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17160,d11 Fri 22:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17220,d11 Fri 23:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17280,d12 Sat 00:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17340,d12 Sat 01:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17400,d12 Sat 02:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17460,d12 Sat 03:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17520,d12 Sat 04:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
17580,d12 Sat 05:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,kitchen,bedroom
