t,stamp,mug_marian,mug_theo,bowl_shared_1,plate_shared_1,laptop_marian,phone_marian,phone_theo,tablet_theo,keys_marian,keys_theo,wallet_marian,wallet_theo,book_marian,book_theo,water_bottle_marian,water_bottle_theo,remote_shared_1,charger_marian,charger_theo,backpack_marian,backpack_theo,jacket_marian,jacket_theo,glasses_marian,glasses_theo,notebook_marian,notebook_theo,pen_marian,medication_bottle_marian,medication_bottle_theo,blanket_marian,blanket_theo,towel_shared_1,umbrella_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,watering_can_marian,yoga_mat_theo
20160,d14 Mon 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20220,d14 Mon 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20280,d14 Mon 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20340,d14 Mon 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20400,d14 Mon 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20460,d14 Mon 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,entry,living
20520,d14 Mon 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,living,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,entry,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,entry,kitchen,entry,kitchen,kitchen,entry,living
20580,d14 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,entry,kitchen,entry,kitchen,kitchen,entry,living
20640,d14 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
20700,d14 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,kitchen,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
20760,d14 Mon 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
20820,d14 Mon 11:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,kitchen,outside,entry,outside,living,outside,entry,kitchen,kitchen,living,outside,kitchen,outside,entry,kitchen,living,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
20880,d14 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
20940,d14 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21000,d14 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21060,d14 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21120,d14 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21180,d14 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21240,d14 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21300,d14 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21360,d14 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21420,d14 Mon 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21480,d14 Mon 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21540,d14 Mon 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21600,d15 Tue 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21660,d15 Tue 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21720,d15 Tue 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21780,d15 Tue 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21840,d15 Tue 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21900,d15 Tue 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
21960,d15 Tue 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
22020,d15 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
22080,d15 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,kitchen,outside,living,kitchen,living,kitchen,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
22140,d15 Tue 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,outside,living,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
22200,d15 Tue 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,outside,living,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
22260,d15 Tue 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,kitchen,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
22320,d15 Tue 12:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,kitchen,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
22380,d15 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22440,d15 Tue 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22500,d15 Tue 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22560,d15 Tue 16:00,living,kitchen,kitchen,kitchen,outside,outside,living,living,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22620,d15 Tue 17:00,living,kitchen,kitchen,kitchen,outside,outside,living,living,kitchen,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22680,d15 Tue 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22740,d15 Tue 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22800,d15 Tue 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22860,d15 Tue 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22920,d15 Tue 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
22980,d15 Tue 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23040,d16 Wed 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23100,d16 Wed 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23160,d16 Wed 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23220,d16 Wed 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23280,d16 Wed 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23340,d16 Wed 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23400,d16 Wed 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bathroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23460,d16 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bathroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen
23520,d16 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,entry,outside,living,kitchen,living,entry,outside,entry,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
23580,d16 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,entry,outside,living,kitchen,living,entry,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
23640,d16 Wed 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,entry,outside,living,kitchen,living,entry,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,outside
23700,d16 Wed 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
23760,d16 Wed 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
23820,d16 Wed 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
23880,d16 Wed 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
23940,d16 Wed 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,kitchen,living,living,kitchen,kitchen,living,kitchen,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24000,d16 Wed 16:00,living,kitchen,kitchen,kitchen,outside,outside,entry,living,outside,entry,outside,kitchen,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24060,d16 Wed 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24120,d16 Wed 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24180,d16 Wed 19:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24240,d16 Wed 20:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24300,d16 Wed 21:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24360,d16 Wed 22:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24420,d16 Wed 23:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24480,d17 Thu 00:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24540,d17 Thu 01:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24600,d17 Thu 02:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24660,d17 Thu 03:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24720,d17 Thu 04:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24780,d17 Thu 05:00,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,kitchen,entry,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
24840,d17 Thu 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,kitchen,entry,living,kitchen,living,entry,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,living
