t,stamp,phone_leena,keys_leena,wallet_leena,laptop_leena,charger_leena,backpack_leena,jacket_leena,headphones_leena,glasses_leena,notebook_leena,pen_leena,water_bottle_leena,lunchbox_leena,mug_leena,mug_shared_1,bowl_leena,plate_leena,pot_shared_1,pan_shared_1,book_leena,remote_shared_1,blanket_leena,yoga_mat_leena,laundry_basket_leena,towel_leena,vacuum_cleaner_shared_1,watering_can_leena,medication_bottle_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena,umbrella_leena
20160,d14 Mon 00:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20220,d14 Mon 01:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20280,d14 Mon 02:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20340,d14 Mon 03:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20400,d14 Mon 04:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20460,d14 Mon 05:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20520,d14 Mon 06:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20580,d14 Mon 07:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,living
20640,d14 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
20700,d14 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
20760,d14 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
20820,d14 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
20880,d14 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
20940,d14 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
21000,d14 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,outside,bedroom,outside
21060,d14 Mon 15:00,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21120,d14 Mon 16:00,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21180,d14 Mon 17:00,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21240,d14 Mon 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21300,d14 Mon 19:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21360,d14 Mon 20:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21420,d14 Mon 21:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21480,d14 Mon 22:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21540,d14 Mon 23:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21600,d15 Tue 00:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21660,d15 Tue 01:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21720,d15 Tue 02:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21780,d15 Tue 03:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21840,d15 Tue 04:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21900,d15 Tue 05:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
21960,d15 Tue 06:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bedroom,kitchen,bedroom,entry
22020,d15 Tue 07:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,kitchen,bedroom,entry
22080,d15 Tue 08:00,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22140,d15 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22200,d15 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22260,d15 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22320,d15 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22380,d15 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22440,d15 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22500,d15 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
22560,d15 Tue 16:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22620,d15 Tue 17:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22680,d15 Tue 18:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22740,d15 Tue 19:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22800,d15 Tue 20:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22860,d15 Tue 21:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22920,d15 Tue 22:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
22980,d15 Tue 23:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23040,d16 Wed 00:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23100,d16 Wed 01:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23160,d16 Wed 02:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23220,d16 Wed 03:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23280,d16 Wed 04:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23340,d16 Wed 05:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23400,d16 Wed 06:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
23460,d16 Wed 07:00,bedroom,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
23520,d16 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23580,d16 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23640,d16 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23700,d16 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23760,d16 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23820,d16 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23880,d16 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
23940,d16 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,outside,bedroom,outside
24000,d16 Wed 16:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24060,d16 Wed 17:00,bathroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24120,d16 Wed 18:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24180,d16 Wed 19:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24240,d16 Wed 20:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24300,d16 Wed 21:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24360,d16 Wed 22:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24420,d16 Wed 23:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24480,d17 Thu 00:00,living,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24540,d17 Thu 01:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24600,d17 Thu 02:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24660,d17 Thu 03:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24720,d17 Thu 04:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24780,d17 Thu 05:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24840,d17 Thu 06:00,bedroom,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bedroom,bathroom,bathroom,bedroom,entry
24900,d17 Thu 07:00,kitchen,entry,bathroom,kitchen,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,bathroom,bedroom,entry
24960,d17 Thu 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25020,d17 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25080,d17 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25140,d17 Thu 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25200,d17 Thu 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25260,d17 Thu 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25320,d17 Thu 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25380,d17 Thu 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,outside,bedroom,outside
25440,d17 Thu 16:00,living,living,entry,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25500,d17 Thu 17:00,kitchen,entry,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25560,d17 Thu 18:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,kitchen,kitchen,kitchen,kitchen,bedroom,living,bedroom,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25620,d17 Thu 19:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25680,d17 Thu 20:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25740,d17 Thu 21:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25800,d17 Thu 22:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
25860,d17 Thu 23:00,bedroom,entry,entry,bedroom,kitchen,kitchen,living,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,living,bathroom,bathroom,living,bedroom,living
