t,stamp,mug_marie,mug_1,bowl_marie,plate_1,laptop_marie,phone_marie,tablet_marie,keys_marie,wallet_marie,book_marie,book_1,water_bottle_marie,remote_marie,charger_marie,backpack_marie,jacket_marie,glasses_marie,notebook_marie,pen_marie,medication_bottle_marie,blanket_marie,towel_marie,gaming_controller_marie,umbrella_marie,laundry_basket_marie,vacuum_cleaner_1,pot_1,pan_1,suitcase_marie,watering_can_marie
12000,d08 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12060,d08 Tue 09:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12120,d08 Tue 10:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12180,d08 Tue 11:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12240,d08 Tue 12:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12300,d08 Tue 13:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,bathroom,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12360,d08 Tue 14:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12420,d08 Tue 15:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12480,d08 Tue 16:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12540,d08 Tue 17:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12600,d08 Tue 18:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12660,d08 Tue 19:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12720,d08 Tue 20:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12780,d08 Tue 21:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12840,d08 Tue 22:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12900,d08 Tue 23:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
12960,d09 Wed 00:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13020,d09 Wed 01:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13080,d09 Wed 02:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13140,d09 Wed 03:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13200,d09 Wed 04:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13260,d09 Wed 05:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13320,d09 Wed 06:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13380,d09 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,kitchen,entry,kitchen,kitchen,bedroom,entry
13440,d09 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13500,d09 Wed 09:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13560,d09 Wed 10:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,bathroom,living,bathroom,living,outside,living,entry,kitchen,kitchen,outside,kitchen
13620,d09 Wed 11:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13680,d09 Wed 12:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13740,d09 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13800,d09 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13860,d09 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13920,d09 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
13980,d09 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14040,d09 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14100,d09 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14160,d09 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14220,d09 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14280,d09 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14340,d09 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14400,d10 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14460,d10 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14520,d10 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14580,d10 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14640,d10 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14700,d10 Thu 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,bathroom,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14760,d10 Thu 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14820,d10 Thu 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,living,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
14880,d10 Thu 08:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,living,entry,kitchen,kitchen,outside,kitchen
14940,d10 Thu 09:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,living,entry,kitchen,kitchen,outside,kitchen
15000,d10 Thu 10:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15060,d10 Thu 11:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15120,d10 Thu 12:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15180,d10 Thu 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,living,kitchen,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15240,d10 Thu 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,living,entry,kitchen,kitchen,outside,kitchen
15300,d10 Thu 15:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,living,entry,kitchen,kitchen,outside,kitchen
15360,d10 Thu 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15420,d10 Thu 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15480,d10 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15540,d10 Thu 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15600,d10 Thu 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15660,d10 Thu 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15720,d10 Thu 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15780,d10 Thu 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15840,d11 Fri 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15900,d11 Fri 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
15960,d11 Fri 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16020,d11 Fri 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16080,d11 Fri 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16140,d11 Fri 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16200,d11 Fri 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,kitchen,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16260,d11 Fri 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,kitchen,entry,living,entry,kitchen,kitchen,bedroom,kitchen
16320,d11 Fri 08:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,kitchen,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16380,d11 Fri 09:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,kitchen,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16440,d11 Fri 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,kitchen,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16500,d11 Fri 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,living,bedroom,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom,kitchen
16560,d11 Fri 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16620,d11 Fri 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16680,d11 Fri 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16740,d11 Fri 15:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,kitchen,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16800,d11 Fri 16:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16860,d11 Fri 17:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16920,d11 Fri 18:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
16980,d11 Fri 19:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17040,d11 Fri 20:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17100,d11 Fri 21:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17160,d11 Fri 22:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17220,d11 Fri 23:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17280,d12 Sat 00:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17340,d12 Sat 01:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17400,d12 Sat 02:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17460,d12 Sat 03:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17520,d12 Sat 04:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17580,d12 Sat 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17640,d12 Sat 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17700,d12 Sat 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17760,d12 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17820,d12 Sat 09:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17880,d12 Sat 10:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
17940,d12 Sat 11:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
18000,d12 Sat 12:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
