t,stamp,mug_1,mug_2,glasses_1,medication_bottle_1,laptop_1,watering_can_1,blanket_1,book_1,toy_1,phone_1,phone_2,keys_1,keys_2,towel_1,towel_2
21780,d15 Tue 03:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21840,d15 Tue 04:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21900,d15 Tue 05:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
21960,d15 Tue 06:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
22020,d15 Tue 07:00,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
22080,d15 Tue 08:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,entry,entry,kitchen,kitchen
22140,d15 Tue 09:00,kitchen,kitchen,living,entry,entry,entry,entry,entry,entry,entry,kitchen,entry,kitchen,entry,entry
22200,d15 Tue 10:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,bedroom_1,entry,kitchen,kitchen,kitchen,bathroom
22260,d15 Tue 11:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,bedroom_1,entry,kitchen,kitchen,kitchen,bathroom
22320,d15 Tue 12:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,bedroom_1,entry,kitchen,kitchen,kitchen,bathroom
22380,d15 Tue 13:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,bedroom_1,entry,kitchen,kitchen,kitchen,bathroom
22440,d15 Tue 14:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,bedroom_1,entry,kitchen,kitchen,kitchen,bathroom
22500,d15 Tue 15:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
22560,d15 Tue 16:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
22620,d15 Tue 17:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
22680,d15 Tue 18:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom
22740,d15 Tue 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
22800,d15 Tue 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
22860,d15 Tue 21:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
22920,d15 Tue 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
22980,d15 Tue 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23040,d16 Wed 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23100,d16 Wed 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23160,d16 Wed 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23220,d16 Wed 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23280,d16 Wed 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23340,d16 Wed 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23400,d16 Wed 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23460,d16 Wed 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
23520,d16 Wed 08:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
23580,d16 Wed 09:00,kitchen,kitchen,kitchen,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry
23640,d16 Wed 10:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
23700,d16 Wed 11:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
23760,d16 Wed 12:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
23820,d16 Wed 13:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
23880,d16 Wed 14:00,kitchen,kitchen,kitchen,bathroom,kitchen,living,living,living,living,kitchen,living,kitchen,living,kitchen,bathroom
23940,d16 Wed 15:00,kitchen,kitchen,living,bathroom,kitchen,living,living,living,living,living,living,kitchen,living,kitchen,bathroom
24000,d16 Wed 16:00,kitchen,kitchen,living,bathroom,kitchen,living,living,living,living,living,living,kitchen,living,kitchen,bathroom
24060,d16 Wed 17:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
24120,d16 Wed 18:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
24180,d16 Wed 19:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
24240,d16 Wed 20:00,kitchen,kitchen,living,bathroom,kitchen,kitchen,living,living,living,living,kitchen,kitchen,entry,kitchen,bathroom
24300,d16 Wed 21:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24360,d16 Wed 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24420,d16 Wed 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24480,d17 Thu 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24540,d17 Thu 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24600,d17 Thu 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24660,d17 Thu 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24720,d17 Thu 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24780,d17 Thu 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24840,d17 Thu 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24900,d17 Thu 07:00,kitchen,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
24960,d17 Thu 08:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
25020,d17 Thu 09:00,kitchen,kitchen,living,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry
25080,d17 Thu 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bathroom
25140,d17 Thu 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bathroom
25200,d17 Thu 12:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bathroom
25260,d17 Thu 13:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bathroom
25320,d17 Thu 14:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,bedroom_2,kitchen,bathroom
25380,d17 Thu 15:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,entry,kitchen,bedroom_2,kitchen,bathroom
25440,d17 Thu 16:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,entry,kitchen,bedroom_2,kitchen,bathroom
25500,d17 Thu 17:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,bedroom_2,kitchen,bathroom
25560,d17 Thu 18:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,kitchen,bedroom_2,kitchen,bathroom
25620,d17 Thu 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
25680,d17 Thu 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
25740,d17 Thu 21:00,kitchen,kitchen,bedroom_1,bathroom,kitchen,entry,bedroom_1,living,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,bathroom
25800,d17 Thu 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
25860,d17 Thu 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
25920,d18 Fri 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
25980,d18 Fri 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26040,d18 Fri 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26100,d18 Fri 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26160,d18 Fri 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26220,d18 Fri 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26280,d18 Fri 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26340,d18 Fri 07:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
26400,d18 Fri 08:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
26460,d18 Fri 09:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
26520,d18 Fri 10:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26580,d18 Fri 11:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26640,d18 Fri 12:00,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26700,d18 Fri 13:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26760,d18 Fri 14:00,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26820,d18 Fri 15:00,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
26880,d18 Fri 16:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
26940,d18 Fri 17:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
27000,d18 Fri 18:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
27060,d18 Fri 19:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
27120,d18 Fri 20:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,bedroom_2,kitchen,living,kitchen,bathroom
27180,d18 Fri 21:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
27240,d18 Fri 22:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27300,d18 Fri 23:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27360,d19 Sat 00:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27420,d19 Sat 01:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27480,d19 Sat 02:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27540,d19 Sat 03:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27600,d19 Sat 04:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27660,d19 Sat 05:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27720,d19 Sat 06:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27780,d19 Sat 07:00,kitchen,kitchen,bedroom_2,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27840,d19 Sat 08:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
27900,d19 Sat 09:00,kitchen,kitchen,living,bathroom,living,living,living,living,living,bedroom_1,entry,kitchen,kitchen,living,bathroom
27960,d19 Sat 10:00,kitchen,kitchen,living,kitchen,living,entry,living,bedroom_1,living,kitchen,living,entry,living,kitchen,bathroom
28020,d19 Sat 11:00,kitchen,kitchen,living,kitchen,living,entry,living,bedroom_1,living,kitchen,living,entry,living,kitchen,bathroom
28080,d19 Sat 12:00,kitchen,kitchen,living,bathroom,living,entry,living,bedroom_1,living,kitchen,entry,entry,kitchen,kitchen,bathroom
28140,d19 Sat 13:00,kitchen,kitchen,living,bathroom,living,entry,living,bedroom_1,living,kitchen,entry,entry,kitchen,kitchen,bathroom
28200,d19 Sat 14:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,entry,kitchen,kitchen,bathroom
28260,d19 Sat 15:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,entry,kitchen,kitchen,bathroom
28320,d19 Sat 16:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,entry,kitchen,kitchen,bathroom
28380,d19 Sat 17:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,entry,kitchen,kitchen,bathroom
28440,d19 Sat 18:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,entry,entry,kitchen,kitchen,bathroom
28500,d19 Sat 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,living,entry,living,kitchen,bathroom
28560,d19 Sat 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,living,entry,living,kitchen,bathroom
28620,d19 Sat 21:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,entry,entry,kitchen,kitchen,bathroom
28680,d19 Sat 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
28740,d19 Sat 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
28800,d20 Sun 00:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
28860,d20 Sun 01:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
28920,d20 Sun 02:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
28980,d20 Sun 03:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29040,d20 Sun 04:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29100,d20 Sun 05:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29160,d20 Sun 06:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29220,d20 Sun 07:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29280,d20 Sun 08:00,kitchen,kitchen,living,kitchen,kitchen,entry,living,bedroom_1,living,bedroom_2,bedroom_2,entry,kitchen,kitchen,bathroom
29340,d20 Sun 09:00,entry,kitchen,living,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry
29400,d20 Sun 10:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,bedroom_1,living,bedroom_1,living,kitchen,living,kitchen,bathroom
29460,d20 Sun 11:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29520,d20 Sun 12:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29580,d20 Sun 13:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29640,d20 Sun 14:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29700,d20 Sun 15:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29760,d20 Sun 16:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,kitchen,kitchen,entry,kitchen,bathroom
29820,d20 Sun 17:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,kitchen,kitchen,entry,kitchen,bathroom
29880,d20 Sun 18:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
29940,d20 Sun 19:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
30000,d20 Sun 20:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
30060,d20 Sun 21:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
30120,d20 Sun 22:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
30180,d20 Sun 23:00,kitchen,kitchen,bedroom_2,bathroom,kitchen,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
