t,stamp,laptop_leena,phone_leena,keys_leena,wallet_leena,backpack_leena,mug_leena,mug_1,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,water_bottle_leena,notebook_leena,pen_leena,tablet_leena,charger_leena,headphones_leena,book_leena,glasses_leena,blanket_leena,remote_1,yoga_mat_leena,watering_can_leena,jacket_leena,umbrella_leena,laundry_basket_leena,towel_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena
10560,d07 Mon 08:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10620,d07 Mon 09:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10680,d07 Mon 10:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10740,d07 Mon 11:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10800,d07 Mon 12:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10860,d07 Mon 13:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10920,d07 Mon 14:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
10980,d07 Mon 15:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11040,d07 Mon 16:00,kitchen,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11100,d07 Mon 17:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11160,d07 Mon 18:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11220,d07 Mon 19:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11280,d07 Mon 20:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11340,d07 Mon 21:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11400,d07 Mon 22:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11460,d07 Mon 23:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11520,d08 Tue 00:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11580,d08 Tue 01:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11640,d08 Tue 02:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11700,d08 Tue 03:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11760,d08 Tue 04:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11820,d08 Tue 05:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11880,d08 Tue 06:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
11940,d08 Tue 07:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12000,d08 Tue 08:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12060,d08 Tue 09:00,bedroom,bedroom,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,outside,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,kitchen,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,kitchen,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,kitchen,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,kitchen,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12420,d08 Tue 15:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,entry,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12480,d08 Tue 16:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,living,kitchen,entry,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12540,d08 Tue 17:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,outside,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12600,d08 Tue 18:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,kitchen,outside,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
12660,d08 Tue 19:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12720,d08 Tue 20:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12780,d08 Tue 21:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12840,d08 Tue 22:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12900,d08 Tue 23:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
12960,d09 Wed 00:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13020,d09 Wed 01:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13080,d09 Wed 02:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13140,d09 Wed 03:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13200,d09 Wed 04:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13260,d09 Wed 05:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13320,d09 Wed 06:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13380,d09 Wed 07:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13440,d09 Wed 08:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13500,d09 Wed 09:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13560,d09 Wed 10:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13620,d09 Wed 11:00,bedroom,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13680,d09 Wed 12:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13740,d09 Wed 13:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13800,d09 Wed 14:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13860,d09 Wed 15:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13920,d09 Wed 16:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
13980,d09 Wed 17:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14040,d09 Wed 18:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14100,d09 Wed 19:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14160,d09 Wed 20:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14220,d09 Wed 21:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14280,d09 Wed 22:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14340,d09 Wed 23:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14400,d10 Thu 00:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14460,d10 Thu 01:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14520,d10 Thu 02:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14580,d10 Thu 03:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14640,d10 Thu 04:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14700,d10 Thu 05:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14760,d10 Thu 06:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14820,d10 Thu 07:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14880,d10 Thu 08:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
14940,d10 Thu 09:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
15000,d10 Thu 10:00,bedroom,kitchen,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
15060,d10 Thu 11:00,bedroom,kitchen,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
15120,d10 Thu 12:00,bedroom,kitchen,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
15180,d10 Thu 13:00,bedroom,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
15240,d10 Thu 14:00,bedroom,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15300,d10 Thu 15:00,bedroom,living,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15360,d10 Thu 16:00,bedroom,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15420,d10 Thu 17:00,bedroom,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15480,d10 Thu 18:00,bedroom,bedroom,entry,kitchen,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,bedroom,living,kitchen,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15540,d10 Thu 19:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15600,d10 Thu 20:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15660,d10 Thu 21:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15720,d10 Thu 22:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15780,d10 Thu 23:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15840,d11 Fri 00:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15900,d11 Fri 01:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
15960,d11 Fri 02:00,bedroom,bedroom,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,kitchen,bedroom,bedroom
